duracion_supervivencia,poblacion_inicial,poblacion_total,supervivencia_max,edad_promedio,salud_promedio,clima,terreno,genotipo_fuerza,genotipo_velocidad,genotipo_resistencia,genotipo_inteligencia,genotipo_adaptabilidad,genotipo_supervivencia
6,10,12,6,32.0,104.9205140410252,"{'lluvioso', 'tormenta'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",14.0,74.0,58.0,28.0,74.0,85.0
13,10,37,10,13.636363636363637,100.5942454648327,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'sabana', 'acantilado', 'pantano', 'pradera'}",93.0,24.0,58.0,8.0,46.0,11.0
10,10,19,7,25.818181818181817,100.02363991478742,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",20.0,64.0,78.0,46.0,53.0,52.0
4,10,10,4,54.333333333333336,101.22014101748677,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",36.0,71.0,68.0,82.0,76.0,31.0
10,10,29,6,16.333333333333332,102.19182442780705,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",71.0,43.0,6.0,10.0,87.0,15.0
5,10,17,5,30.666666666666668,100.03057794387792,"{'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",12.0,70.0,93.0,32.0,96.0,54.0
9,10,31,7,12.444444444444445,100.16539016633891,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",11.0,98.0,70.0,79.0,6.0,63.0
8,10,35,5,8.411764705882353,100.34306536525557,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",22.0,11.0,62.0,29.0,65.0,65.0
10,10,27,8,22.444444444444443,100.1093869628855,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",37.0,91.0,85.0,13.0,6.0,86.0
13,10,29,7,20.153846153846153,105.66382722567106,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",39.0,92.0,43.0,20.0,40.0,10.0
16,10,34,15,17.0,100.76085069716041,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",64.0,81.0,83.0,11.0,34.0,24.0
7,10,10,7,38.6,102.05636325695623,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",68.0,59.0,24.0,69.0,30.0,24.0
5,10,16,4,15.0,100.2176073622043,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",62.0,15.0,79.0,69.0,94.0,80.0
10,10,32,9,19.833333333333332,101.63460526923961,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",37.0,26.0,83.0,70.0,52.0,66.0
4,10,18,3,24.583333333333332,100.14127164771567,"{'lluvioso', 'soleado'}","{'desierto', 'sabana', 'acantilado', 'pantano', 'pradera'}",81.0,63.0,25.0,69.0,50.0,84.0
13,10,35,8,10.0625,97.97948559635479,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",13.0,39.0,43.0,72.0,51.0,76.0
13,10,44,12,14.75,99.86273886669584,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",70.0,40.0,56.0,27.0,25.0,75.0
8,10,17,6,28.583333333333332,100.0939411532496,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",89.0,29.0,16.0,23.0,17.0,12.0
8,10,34,6,12.85,100.13626307069183,{'soleado'},"{'pradera', 'agua', 'sabana', 'pantano'}",79.0,11.0,66.0,55.0,50.0,54.0
18,10,52,13,12.772727272727273,100.69296886349316,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",44.0,90.0,88.0,6.0,22.0,40.0
9,10,22,7,24.75,99.40545758444932,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",24.0,5.0,31.0,13.0,59.0,33.0
4,10,17,4,19.555555555555557,100.56298152111755,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'sabana', 'pantano'}",53.0,64.0,21.0,23.0,86.0,56.0
10,10,40,6,11.380952380952381,101.50694783158546,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",61.0,25.0,26.0,84.0,61.0,55.0
12,10,30,7,11.222222222222221,97.94945663624124,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",90.0,66.0,40.0,51.0,56.0,83.0
5,10,15,5,26.0,100.0394957138624,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",48.0,89.0,91.0,92.0,93.0,7.0
5,10,14,5,42.0,100.38190712103938,"{'tormenta', 'soleado'}","{'pradera', 'acantilado', 'sabana', 'pantano'}",62.0,62.0,87.0,22.0,74.0,14.0
8,10,13,8,34.0,102.71089603753256,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",55.0,33.0,20.0,20.0,57.0,98.0
19,10,43,12,8.65,99.62175851733784,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",99.0,10.0,34.0,41.0,38.0,48.0
8,10,16,5,11.0,100.78166439284601,"{'lluvioso', 'soleado'}","{'pradera', 'acantilado', 'sabana', 'pantano'}",22.0,27.0,64.0,24.0,80.0,95.0
24,10,45,15,11.227272727272727,100.84034070226822,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",72.0,52.0,34.0,31.0,7.0,28.0
20,10,63,13,9.333333333333334,100.25418000619348,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",7.0,82.0,41.0,19.0,14.0,45.0
17,10,48,17,11.625,100.4309698553764,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",99.0,88.0,47.0,78.0,6.0,51.0
16,10,48,9,14.045454545454545,101.94344263249263,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",42.0,68.0,74.0,10.0,33.0,93.0
5,10,16,5,26.77777777777778,100.12594174487897,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",84.0,93.0,83.0,21.0,20.0,66.0
13,10,33,9,11.714285714285714,100.09927113413438,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",46.0,90.0,70.0,54.0,8.0,93.0
6,10,21,6,22.166666666666668,101.15947543445147,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",64.0,25.0,33.0,19.0,46.0,43.0
10,10,29,8,19.75,100.14010612696295,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",6.0,61.0,58.0,11.0,72.0,31.0
4,10,10,4,42.833333333333336,100.2586032411077,"{'tormenta', 'soleado'}","{'pradera', 'agua', 'pantano'}",19.0,13.0,13.0,60.0,49.0,70.0
7,10,19,7,21.9,100.38961813764851,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",19.0,44.0,70.0,79.0,60.0,72.0
2,10,10,2,36.666666666666664,100.0,"{'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",27.0,10.0,93.0,73.0,84.0,93.0
37,10,38,28,24.0,100.9968586808443,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",60.0,12.0,83.0,39.0,28.0,92.0
11,10,19,10,24.666666666666668,99.29496247316735,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",21.0,43.0,97.0,34.0,34.0,61.0
14,10,40,11,16.055555555555557,101.63794636578614,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",24.0,9.0,34.0,27.0,16.0,91.0
9,10,27,7,18.166666666666668,100.24916194211002,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",76.0,47.0,37.0,35.0,23.0,31.0
9,10,20,6,27.5,107.60718481199596,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",48.0,29.0,60.0,47.0,90.0,29.0
7,10,18,5,33.125,100.08886538736718,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",9.0,58.0,70.0,84.0,54.0,61.0
12,10,24,6,29.818181818181817,100.07265560948396,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",56.0,8.0,96.0,29.0,20.0,36.0
9,10,26,8,18.714285714285715,100.25731805312316,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",72.0,8.0,77.0,50.0,31.0,13.0
9,10,25,5,12.3,100.51074133175275,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",35.0,71.0,90.0,66.0,50.0,34.0
9,10,25,9,21.466666666666665,99.69903893240517,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",22.0,90.0,12.0,50.0,31.0,78.0
8,10,16,6,56.333333333333336,90.9816770467366,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",85.0,53.0,39.0,64.0,94.0,11.0
9,10,21,6,19.5,106.40765091813502,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",24.0,38.0,19.0,31.0,75.0,69.0
4,10,16,3,32.5,100.00854881522692,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",62.0,93.0,68.0,47.0,75.0,83.0
13,10,18,12,34.22222222222222,100.37939491505583,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",34.0,8.0,16.0,55.0,39.0,12.0
14,10,35,9,14.88888888888889,100.35027216884032,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",70.0,23.0,22.0,56.0,29.0,24.0
4,10,10,4,37.625,100.14634449638048,{'soleado'},"{'pradera', 'sabana', 'pantano'}",38.0,13.0,20.0,56.0,56.0,44.0
6,10,19,5,20.0,100.43162983218812,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",77.0,12.0,59.0,63.0,23.0,97.0
10,10,19,8,28.333333333333332,98.12092613398787,"{'lluvioso', 'tormenta', 'soleado'}","{'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",66.0,75.0,31.0,73.0,54.0,24.0
19,10,17,16,27.285714285714285,99.8940053984676,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",89.0,53.0,74.0,11.0,42.0,81.0
11,10,31,10,15.8125,98.19230122924401,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",61.0,10.0,22.0,54.0,36.0,93.0
11,10,54,8,12.26086956521739,101.53129445106426,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",51.0,18.0,78.0,55.0,47.0,15.0
14,10,34,13,10.863636363636363,100.03901429166463,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",69.0,70.0,23.0,9.0,8.0,10.0
6,10,23,6,16.076923076923077,102.12902430552904,"{'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",37.0,9.0,46.0,16.0,59.0,61.0
12,10,29,10,25.46153846153846,100.66460085689877,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",60.0,20.0,59.0,76.0,24.0,89.0
10,10,58,6,9.4,101.30750946182064,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",93.0,78.0,94.0,81.0,88.0,49.0
11,10,36,7,16.05263157894737,100.16551460779667,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",9.0,61.0,79.0,89.0,16.0,72.0
6,10,32,5,22.727272727272727,99.49480829980256,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",35.0,84.0,14.0,31.0,95.0,54.0
6,10,23,3,17.818181818181817,100.22056996281522,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",30.0,96.0,17.0,9.0,39.0,54.0
11,10,19,8,21.857142857142858,100.00349190169382,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",97.0,25.0,96.0,64.0,71.0,28.0
5,10,21,5,20.90909090909091,100.78483773805151,"{'lluvioso', 'tormenta'}","{'pradera', 'agua', 'sabana', 'pantano'}",44.0,28.0,65.0,29.0,56.0,18.0
9,10,19,6,22.928571428571427,100.34265542718049,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",48.0,27.0,36.0,54.0,29.0,17.0
11,10,33,7,13.4,105.0334617045331,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",9.0,77.0,41.0,98.0,43.0,5.0
7,10,16,4,32.0,100.0110210401709,"{'lluvioso', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",43.0,7.0,74.0,21.0,56.0,26.0
7,10,23,7,16.545454545454547,100.21068466651836,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",63.0,32.0,59.0,93.0,56.0,17.0
9,10,16,7,24.727272727272727,102.83770864314651,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",84.0,5.0,74.0,75.0,50.0,96.0
5,10,17,5,22.11111111111111,102.05476139570006,"{'lluvioso', 'tormenta'}","{'desierto', 'pradera', 'sabana', 'pantano'}",91.0,80.0,17.0,95.0,76.0,27.0
17,10,70,10,9.8,100.00659894163459,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",6.0,31.0,82.0,51.0,37.0,74.0
12,10,41,7,9.352941176470589,100.11119426981165,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",53.0,41.0,90.0,79.0,29.0,36.0
11,10,22,7,20.818181818181817,100.38313932248438,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'sabana', 'acantilado', 'pantano', 'pradera'}",34.0,67.0,90.0,16.0,53.0,34.0
8,10,21,8,29.333333333333332,101.06491880927354,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",92.0,38.0,77.0,18.0,59.0,65.0
5,10,10,5,43.0,100.3117398627136,"{'lluvioso', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",57.0,70.0,97.0,45.0,95.0,38.0
6,10,10,6,49.6,100.14683501585014,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'sabana', 'pantano'}",99.0,23.0,31.0,22.0,20.0,56.0
13,10,25,8,31.88888888888889,101.52284433740387,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",39.0,16.0,60.0,66.0,24.0,6.0
8,10,10,8,34.0,100.19870139671329,"{'tormenta', 'soleado'}","{'desierto', 'sabana', 'acantilado', 'pantano', 'pradera'}",45.0,98.0,92.0,39.0,87.0,15.0
11,10,23,8,19.4375,100.37617802923585,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",76.0,63.0,12.0,72.0,12.0,83.0
8,10,22,6,22.0,101.23585955770403,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",8.0,53.0,59.0,56.0,55.0,57.0
11,10,24,6,18.0,106.22309771408976,"{'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",26.0,48.0,16.0,72.0,98.0,24.0
13,10,27,12,23.214285714285715,100.31827022339753,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",7.0,32.0,29.0,38.0,14.0,41.0
6,10,18,6,29.428571428571427,97.19984566660877,"{'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",42.0,51.0,34.0,31.0,95.0,12.0
9,10,30,8,16.615384615384617,101.54079006997442,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",29.0,54.0,19.0,50.0,69.0,84.0
12,10,52,8,6.625,101.64264897690863,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",41.0,63.0,58.0,41.0,30.0,71.0
17,10,47,14,11.36,100.59602607462197,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",49.0,48.0,81.0,80.0,12.0,39.0
6,10,20,5,15.727272727272727,100.550560781817,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",75.0,26.0,34.0,92.0,49.0,95.0
4,10,15,4,23.5,100.02063652122574,{'soleado'},"{'desierto', 'sabana', 'acantilado', 'pantano', 'pradera'}",87.0,65.0,47.0,85.0,70.0,38.0
10,10,30,7,15.857142857142858,102.96516738269376,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",68.0,20.0,67.0,88.0,41.0,55.0
8,10,29,5,15.133333333333333,103.97889480692102,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",91.0,42.0,41.0,48.0,93.0,9.0
14,10,29,13,15.857142857142858,102.92567315198907,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",89.0,13.0,64.0,75.0,59.0,64.0
14,10,23,12,22.0625,100.16686165706236,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",20.0,39.0,92.0,48.0,16.0,33.0
11,10,34,7,16.944444444444443,100.13222482481234,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",40.0,91.0,44.0,94.0,9.0,90.0
7,10,12,6,33.4,100.63867104141931,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'sabana', 'pantano'}",88.0,23.0,47.0,40.0,56.0,39.0
8,10,24,5,17.0,108.60421582166884,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",90.0,53.0,20.0,30.0,95.0,46.0
8,10,13,8,47.6,106.01238273725512,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'sabana', 'acantilado', 'pantano', 'pradera'}",55.0,83.0,95.0,43.0,44.0,97.0
9,10,25,7,29.0,103.38517437944104,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",5.0,68.0,39.0,16.0,46.0,68.0
9,10,17,9,29.0,100.45112857798338,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'sabana', 'pantano'}",8.0,26.0,59.0,68.0,21.0,74.0
5,10,13,5,38.0,100.04097139647968,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",45.0,60.0,21.0,26.0,84.0,96.0
10,10,23,8,22.153846153846153,100.61266869126881,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",53.0,77.0,19.0,94.0,23.0,86.0
11,10,28,8,15.416666666666666,100.31172661728145,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",21.0,16.0,47.0,15.0,35.0,15.0
10,10,21,7,24.818181818181817,101.99282366882781,"{'lluvioso', 'tormenta', 'soleado'}","{'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",72.0,8.0,96.0,70.0,50.0,94.0
3,10,21,3,27.625,100.01958407575523,{'soleado'},"{'pradera', 'sabana', 'pantano'}",5.0,91.0,5.0,58.0,74.0,27.0
10,10,29,8,16.2,100.48942555216546,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",36.0,21.0,60.0,24.0,12.0,64.0
8,10,10,8,45.8,100.0680163228707,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",18.0,53.0,91.0,83.0,5.0,63.0
7,10,19,5,23.88888888888889,101.82983537817239,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",98.0,6.0,85.0,10.0,98.0,75.0
6,10,20,5,25.77777777777778,102.69472343096349,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",54.0,21.0,43.0,87.0,59.0,21.0
11,10,20,10,21.0,99.3899280996987,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",61.0,67.0,35.0,57.0,21.0,56.0
4,10,13,4,39.6,100.66842645649987,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",52.0,63.0,75.0,82.0,90.0,39.0
19,10,27,18,16.133333333333333,101.16926625867764,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",45.0,59.0,95.0,27.0,17.0,44.0
10,10,39,8,12.666666666666666,102.54054423552259,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",35.0,19.0,93.0,69.0,74.0,38.0
10,10,24,7,22.363636363636363,100.13535706108378,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",43.0,51.0,80.0,38.0,56.0,95.0
11,10,21,8,24.444444444444443,102.57653519090188,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",13.0,12.0,87.0,52.0,78.0,37.0
